price,address,bed,date
"$816,000",113/14 Baywater Drive Wentworth Point 2127,2,Sold on 28 May 2021 
"$590,000",924/1 Burroway Road Wentworth Point 2127,1,Sold on 28 May 2021 
"$645,000",507/14 Burroway Road Wentworth Point 2127,1,Sold on 28 May 2021 
"$510,000",303/10 Savona Drive Wentworth Point 2127,1,Sold on 27 May 2021 
,316/10 Half Street Wentworth Point 2127,1,Sold on 27 May 2021 
"$710,000",411/41 Hill Road Wentworth Point 2127,2,Sold on 27 May 2021 
,316/10 Half Street Wentworth Point 2127,1,Sold on 27 May 2021 
"$655,000",503/9 Baywater Drive Wentworth Point 2127,2,Sold on 22 May 2021 
"$725,000",211/4 Stromboli Strait Wentworth Point 2127,2,Sold on 21 May 2021 
"$570,000",802/8 Marine Parade Wentworth Point 2127,1,Sold on 21 May 2021 
"$550,000",509/41 Hill Road Wentworth Point 2127,1,Sold on 21 May 2021 
"$710,000",312/27 Hill Road Wentworth Point 2127,2,Sold on 21 May 2021 
